Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Register/verify_password_field""), ""NwihNemifflwzNshSAiWUA=="")",Chrome 147.0.7727.138,,,08-05-2026 13:33:06,08-05-2026 13:33:07,0.488s,PASSED
"click(findTestObject(""Register/btn_create_account""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:07,08-05-2026 13:33:07,0.278s,PASSED
"click(findTestObject(""Register/msg_account_successfuly_created""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:07,08-05-2026 13:33:09,1.782s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,08-05-2026 13:33:09,08-05-2026 13:33:09,0.592s,PASSED
,,,,,,,
Test Cases/Register Verification/Regiester with blank input,Chrome 147.0.7727.138,,,08-05-2026 13:33:09,08-05-2026 13:33:16,6.808s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,08-05-2026 13:33:09,08-05-2026 13:33:12,2.556s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,08-05-2026 13:33:12,08-05-2026 13:33:13,1.153s,PASSED
"click(findTestObject(""Register/icon_sign_up""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:13,08-05-2026 13:33:13,0.545s,PASSED
"click(findTestObject(""Register/full_name_field""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:13,08-05-2026 13:33:14,0.604s,PASSED
"click(findTestObject(""Register/email_field""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:14,08-05-2026 13:33:14,0.295s,PASSED
"click(findTestObject(""Register/password_field""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:14,08-05-2026 13:33:15,0.476s,PASSED
"click(findTestObject(""Register/verify_password_field""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:15,08-05-2026 13:33:15,0.280s,PASSED
"click(findTestObject(""Register/btn_create_account""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:15,08-05-2026 13:33:15,0.286s,PASSED
"click(findTestObject(""Register/msg_please_enter_your_full_name""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:15,08-05-2026 13:33:16,0.475s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:16,0.098s,PASSED
,,,,,,,
Test Cases/Register Verification/Regiester with invalid requirements,Chrome 147.0.7727.138,,auth,08-05-2026 13:33:16,08-05-2026 13:33:23,7.087s,PASSED
randomInvalidEmail = test$System.currentTimeMillis().com,Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:16,0.001s,PASSED
"firstNames = [""Fazza"", ""Lin"", ""Kai"", ""Zhen"", ""Alya""]",Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:16,0.001s,PASSED
"lastNames = [""Chen"", ""Wijaya"", ""Putra"", ""Li"", ""Santoso""]",Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:16,0.001s,PASSED
randomFullName = $firstNames[new Random().nextInt(firstNames.size())] $lastNames[new Random().nextInt(lastNames.size())],Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:16,0.000s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,08-05-2026 13:33:16,08-05-2026 13:33:18,1.819s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,08-05-2026 13:33:18,08-05-2026 13:33:19,1.047s,PASSED
"click(findTestObject(""Register/icon_sign_up""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:19,08-05-2026 13:33:20,0.888s,PASSED
"setText(findTestObject(""Register/full_name_field""), randomFullName)",Chrome 147.0.7727.138,,,08-05-2026 13:33:20,08-05-2026 13:33:21,0.966s,PASSED
"setText(findTestObject(""Register/email_field""), randomInvalidEmail)",Chrome 147.0.7727.138,,,08-05-2026 13:33:21,08-05-2026 13:33:21,0.536s,PASSED
"setEncryptedText(findTestObject(""Register/password_field""), ""f7IgQFd4qQo="")",Chrome 147.0.7727.138,,,08-05-2026 13:33:21,08-05-2026 13:33:22,0.304s,PASSED
"click(findTestObject(""Register/btn_create_account""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:22,08-05-2026 13:33:22,0.592s,PASSED
"click(findTestObject(""Register/msg_please_enter_a_valid_email_address""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:22,08-05-2026 13:33:23,0.500s,PASSED
"click(findTestObject(""Register/msg_validation_email_field""))",Chrome 147.0.7727.138,,,08-05-2026 13:33:23,08-05-2026 13:33:23,0.277s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,08-05-2026 13:33:23,08-05-2026 13:33:23,0.122s,PASSED
